transport_id,fluctuate_amt_w,punish_normal_amt,loan_cnt,atv,cash,max_active_days
207450,42.38855935,0,6,154.2757,19942.95,403
207450,42.38855935,0,6,151.5591,32274.16,403
207469,116.7957448,0,0,1603.797,NA,404
207631,518.8956447,0,0,425.9737,32600.45,404
207631,518.8956447,2,3,378.6469,82189.79,404
207756,20.2928333,0,0,784.1182,3505.26,404
207794,5.233597157,0,7,172.9887,340.24,405
207884,72.56621801,0,1,255.3699,0,405
207889,57.92274759,0,7,2125,7282.25,405
208160,17.20146121,2,10,69.54021,54.32,406
208216,2.933859126,0,0,134.2289,365.87,407
208312,59.62958672,0,10,117.7217,0,407
208312,59.62958672,0,9,280.7538,11820.4,407
208398,30.57346973,0,0,1133.757,NA,408
208398,30.57346973,0,0,1900.381,NA,408
208536,7.935515801,0,3,165.5849,2640.59,409
208536,7.935515801,0,1,153.3777,35.62,409
208560,5.239634915,0,0,427,0.47,410
208560,5.239634915,0,4,513.3506,0,410
208636,360.056875,1,10,245.5484,0.14,410
208636,360.056875,0,0,479.8662,7.9,410
208660,115.5725735,6,3,157.6525,10449.94,404
208660,115.5725735,0,0,194.4014,NA,404
208798,74.32116201,0,6,492.9075,0,411
208798,74.32116201,0,9,223.6605,0,411
208800,5.061290208,0,10,177.1384,594.81,411
208800,5.061290208,0,10,182.9636,4552.85,411
208960,60.7501196,6,0,300.7328,NA,412
208960,60.7501196,0,0,197,NA,412
209006,58.05327652,0,9,84.13116,256.51,412
209006,58.05327652,0,10,157.0914,0.69,412
209061,18.06249694,0,2,218.1036,7539.87,415
209139,1.822225584,0,0,105.4078,921.54,413
209177,7.644073084,0,0,267,NA,413
209203,13.21061338,0,4,203.9553,960.73,413
209203,13.21061338,0,2,311.9231,3555.09,413
209211,8.071123417,0,0,1787.791,26.41,413
209406,18.17467102,0,2,243.6884,3730.94,414
209406,18.17467102,0,6,154.1576,17473.62,414
209418,811.4406288,0,3,436.7461,317.57,384
209441,6.990401699,0,8,49.67707,0,384
209447,13.67177588,0,10,74.0774,20.24,414
209512,2.150094558,0,1,388.5801,2545.49,415
209512,2.150094558,0,0,281.8225,NA,415
209555,86.95995829,0,3,1700.232,0,415
209610,2.660959932,0,6,108.6098,0.7,397
209627,31.74980951,0,10,256.4967,6547.56,416
209627,31.74980951,0,10,229.9956,0,416
209705,12.68441873,0,10,158.9743,154.83,417
209709,71.39201215,0,10,333.3378,3122.43,417
209709,71.39201215,0,5,558.2925,93.39,417
209723,10.69893173,0,7,359.8335,147.85,417
209766,29.7425123,0,1,172,0,417
209766,29.7425123,0,0,387,0,417
209775,17.86041833,0,10,80.67195,560.42,417
209824,293.3429144,0,2,348.705,9564.55,416
209824,293.3429144,0,0,290.0018,NA,416
209903,13.72979465,0,1,1753.832,0,408
210186,27.01522188,0,6,148.9118,8642.32,419
210186,27.01522188,0,8,136.921,2565.16,419
210256,3.032050716,0,2,166.8201,682.28,420
210263,41.30496693,0,2,852.5711,12358.73,420
210275,10.21156477,0,0,111.4301,NA,421
210839,16.77098326,0,0,54.93103,NA,424
