"","X","amt_above_atv10_pred","app_id","assessment","atv","businessLicense","businessScope","businessType","cash","companyCode","companyPhone","crawled_at","credit","emergencyContact","emergencyContactPhone","gmv_amt","gmv_avg","gmv_cnt","gmv_month","gmv_rstd","has_sz","income","income_before_wash","is_assessment_better","is_pop","limit","limit_before_loan","limit_before_loan_fluct","loan_amt","loan_balance","loan_cnt","loan_quality","mainBusiness","max_active_days","max_overdue_amt","max_overdue_amt_p","max_overdue_days","overdue_current","overdue_loan_amt","overdue_loan_amt_p","overdue_loan_cnt","platform","punish_fake_amt","punish_fake_cnt","punish_normal_amt","punish_normal_cnt","punish_serious_amt","punish_serious_cnt","punish_total_amt","punish_total_cnt","punish_wash_amt","punish_wash_cnt","refund_amt","refund_rate","registeredCapital","remDays","shop_type","taxpayerCode","transport_id","weight_account","weight_busi","weight_fluct","weight_loan","weight_refuse","weight_time","target","num"
"195",194,0,178273,"9.55",22.7695594714,"440301106422421","鞋靴","厂商直营旗舰店",NA,"05047065-X","13410985576","2017-01-22 18:03:01",NA,NA,NA,25843.45,2871.49444444,9,14,0.440213366584,"",2584.345,2584.345,"True","True",1642.58136041,1642.58136041,1642.58136041,0,NA,0,"False","鞋靴",296,0,0,0,"False",0,0,0,"JINGDONG",0,0,0,0,0,0,0,0,0,0,NA,NA,"100万元","69
                                                天","SOP",44030005047065,166395,1.045,1,1,1,1,0.81095890411,0,1
"196",195,43689.8158333,178414,"9.43",209.789392463,"130100000092220","珠宝首饰","厂商直营旗舰店",67.91,"67208578-0","13473882666","2017-01-23 12:05:01",0,NA,NA,3016427.4,251368.95,12,14,0.156273168004,"",207670.108663,251359.924497,"True","True",0,177557.942907,213069.531489,113150,648950.05,10,"False","珠宝首饰",784,0,0,0,"False",0,0,0,"JINGDONG",0,0,21,10,0,0,21,10,0,0,1160.1,0.00359054024957,"50万元","68
                                                天","SOP",130104672085780,166445,0.95,1,1.2,1,1,1.2,0,1
"197",196,575698.7,177845,"9.57",71.8715859101,"110112011313647","玩具乐器","专营店",2971.51,"911101126796077219","18608972390","2017-01-21 12:07:36",0,NA,NA,7603731.09,633644.2575,12,14,0.38178934147,"",57920.3520676,633619.052068,"True","True",0,49521.9010178,49521.9010178,660362,1101445.31,10,"False","玩具乐器",782,0,0,0,"False",0,0,0,"JINGDONG",0,0,2,2,0,0,2,2,0,0,1327.7,0.00397785225819,"10万元","70
                                                天","SOP",110112679607721,166464,0.95,1,1,1,1,1.2,0,1
"198",197,43689.8158333,178440,"9.43",209.789392463,"130100000092220","珠宝首饰","厂商直营旗舰店",656.56,"67208578-0","13473882666","2017-01-23 14:25:06",0,NA,NA,3016427.4,251368.95,12,14,0.156273168004,"",207670.108663,251359.924497,"True","True",0,177557.942907,213069.531489,113150,648950.05,10,"False","珠宝首饰",784,0,0,0,"False",0,0,0,"JINGDONG",0,0,21,10,0,0,21,10,0,0,1160.1,0.00359054024957,"50万元","68
                                                天","SOP",130104672085780,166469,0.95,1,1.2,1,1,1.2,0,1
"199",198,112,178442,"9.48",259.883992347,"130100000254768","珠宝首饰","专营店",96.6,"69345568-0","031185105555","2017-01-23 14:29:03",445,NA,NA,390633.54,32552.795,12,14,1.00008172558,"",29185.5155,29297.5155,"True","True",14972.1694515,29944.338903,14972.1694515,11980,9500.96,4,"True","珠宝首饰",784,0,0,0,"False",0,0,0,"JINGDONG",0,0,1,1,0,0,1,1,0,0,NA,NA,"100万元","68
                                                天","SOP",130103693455680,166469,0.95,1,0.5,1.2,1,1.2,0,1
"200",199,0,178455,"9.56",196.191363561,"440306111259389","手机","专营店",10.64,"31161304-X","13510454409","2017-01-23 15:15:05",0,NA,NA,5673687.43,472807.285833,12,14,0.218265050955,"",330536.394191,472194.848844,"True","True",241886.538029,266090.853115,319309.023738,45000,309514.27,2,"False","手机",602,0,0,0,"False",0,0,0,"JINGDONG",0,0,30,6,75,4,105,10,75,4,60611.96,0.12953205414,"100万元","68
                                                天","SOP",44030031161304,166484,0.95,1,1.2,1,0,1.1298630137,0,1
"201",200,106.166666667,178456,"9.84",124.455958747,"440306111259389","汽车用品","专营店",0.83,"31161304-X","13510454409","2017-01-23 15:17:05",0,NA,NA,651651.4,130330.28,5,14,0.749729577283,"",91108.089568,130306.080335,"True","True",0,0,0,0,27628.62,0,"False","汽车用品",175,0,0,0,"False",0,0,0,"JINGDONG",0,0,0,0,25,2,25,2,25,2,1147,0.0185679527173,"100万元","68
                                                天","SOP",44030031161304,166484,0.95,1,0.8,1,0,0,0,1
"202",201,0,178455,"9.56",196.191363561,"440306111259389","手机","专营店",10.64,"31161304-X","13510454409","2017-01-23 15:15:05",0,NA,NA,5673687.43,472807.285833,12,14,0.218265050955,"",330536.394191,472194.848844,"True","True",241886.538029,266090.853115,319309.023738,45000,309514.27,2,"False","手机",602,0,0,0,"False",0,0,0,"JINGDONG",0,0,30,6,75,4,105,10,75,4,60611.96,0.12953205414,"100万元","68
                                                天","SOP",44030031161304,166506,0.95,1,1.2,1,0,1.1298630137,0,1
"203",202,106.166666667,178456,"9.84",124.455958747,"440306111259389","汽车用品","专营店",0.83,"31161304-X","13510454409","2017-01-23 15:17:05",0,NA,NA,651651.4,130330.28,5,14,0.749729577283,"",91108.089568,130306.080335,"True","True",0,0,0,0,27628.62,0,"False","汽车用品",175,0,0,0,"False",0,0,0,"JINGDONG",0,0,0,0,25,2,25,2,25,2,1147,0.0185679527173,"100万元","68
                                                天","SOP",44030031161304,166506,0.95,1,0.8,1,0,0,0,1
"204",203,8333.33333333,178095,"9.65",439.39144622,"350205200068480","母婴","专营店",25.55,"30305637-8","18559710086","2017-01-22 12:00:15",1e+06,NA,NA,30744620,2562051.66667,12,14,0.118886255875,"",2552878.83949,2561212.17282,"True","True",2464968.88296,2054140.7358,2464968.88296,0,0,0,"True","母婴",601,0,0,0,"False",0,0,0,"JINGDONG",0,0,55,3,0,1,55,4,0,1,79059,0.0327664681976,"50万元","69
                                                天","SOP",350205303056378,166516,0.95,1,1.2,1,0,1.12931506849,0,1
